O,X,O,X,_,_,X,_,_,O,4
O,X,O,X,O,_,X,_,_,X,8
O,X,O,X,O,_,X,_,X,O,7
O,X,O,X,O,_,X,O,X,X,5
_,_,_,_,_,_,_,_,_,X,0
X,_,_,_,_,_,_,_,_,O,1
X,O,_,_,_,_,_,_,_,X,2
X,O,X,_,_,_,_,_,_,O,3
X,O,X,O,_,_,_,_,_,X,4
X,O,X,O,X,_,_,_,_,O,6
X,O,X,O,X,_,O,_,_,X,8
_,_,_,_,_,X,_,O,_,X,0
X,_,_,_,_,X,_,O,_,O,1
X,O,_,_,_,X,_,O,_,X,4
X,O,_,_,X,X,_,O,_,O,3
X,O,_,O,X,X,_,O,_,X,8
_,_,_,_,_,_,X,_,_,O,0
O,_,_,_,_,_,X,_,_,X,1
O,X,_,_,_,_,X,_,_,O,2
O,X,O,_,_,_,X,_,_,X,3
O,X,O,X,_,_,X,_,_,O,4
O,X,O,X,O,_,X,_,_,X,8
O,X,O,X,O,_,X,_,X,O,7
O,X,O,X,O,_,X,O,X,X,5
_,_,_,_,X,_,_,_,_,O,0
O,_,_,_,X,_,_,_,_,X,1
O,X,_,_,X,_,_,_,_,O,7
O,X,_,_,X,_,_,O,_,X,2
O,X,X,_,X,_,_,O,_,O,6
O,X,X,_,X,_,O,O,_,X,3
O,X,X,X,X,_,O,O,_,O,8
_,_,_,_,_,_,_,_,_,X,0
X,_,_,_,_,_,_,_,_,O,1
X,O,_,_,_,_,_,_,_,X,2
X,O,X,_,_,_,_,_,_,O,3
X,O,X,O,_,_,_,_,_,X,4
X,O,X,O,X,_,_,_,_,O,6
X,O,X,O,X,_,O,_,_,X,8
_,_,_,_,_,_,_,_,_,X,0
X,_,_,_,_,_,_,_,_,O,1
X,O,_,_,_,_,_,_,_,X,2
X,O,X,_,_,_,_,_,_,O,3
X,O,X,O,_,_,_,_,_,X,4
X,O,X,O,X,_,_,_,_,O,6
X,O,X,O,X,_,O,_,_,X,8
_,_,_,_,_,_,_,_,_,X,0
X,_,_,_,_,_,_,_,_,O,1
X,O,_,_,_,_,_,_,_,X,2
X,O,X,_,_,_,_,_,_,O,3
X,O,X,O,_,_,_,_,_,X,4
X,O,X,O,X,_,_,_,_,O,6
X,O,X,O,X,_,O,_,_,X,8
_,O,_,_,_,X,_,_,X,O,2
_,O,O,_,_,X,_,_,X,X,0
X,O,O,_,_,X,_,_,X,O,4
X,O,O,_,O,X,_,_,X,X,6
X,O,O,_,O,X,X,_,X,O,7
_,_,_,_,_,_,_,_,_,X,0
X,_,_,_,_,_,_,_,_,O,1
X,O,_,_,_,_,_,_,_,X,2
X,O,X,_,_,_,_,_,_,O,3
X,O,X,O,_,_,_,_,_,X,4
X,O,X,O,X,_,_,_,_,O,6
X,O,X,O,X,_,O,_,_,X,8
_,X,_,_,_,_,_,_,_,O,0
O,X,_,_,_,_,_,_,_,X,2
O,X,X,_,_,_,_,_,_,O,3
O,X,X,O,_,_,_,_,_,X,6
O,X,X,O,_,_,X,_,_,O,4
O,X,X,O,O,_,X,_,_,X,5
O,X,X,O,O,X,X,_,_,O,8
_,_,_,_,_,_,_,_,_,X,0
X,_,_,_,_,_,_,_,_,O,1
X,O,_,_,_,_,_,_,_,X,2
X,O,X,_,_,_,_,_,_,O,3
